Ano;LOCAL_OCORRENCIA_OBITO;Total
1998,0;DOMICILIO;646
1998,0;HOSPITAL;630
1998,0;OUTROS;267
1998,0;OUTROS ESTABELECIMENTOS DE SAUDE;1
1998,0;VIA PUBLICA;598
1999,0;DOMICILIO;588
1999,0;HOSPITAL;555
1999,0;OUTROS;269
1999,0;OUTROS ESTABELECIMENTOS DE SAUDE;16
1999,0;VIA PUBLICA;552
2000,0;DOMICILIO;685
2000,0;HOSPITAL;664
2000,0;OUTROS;296
2000,0;OUTROS ESTABELECIMENTOS DE SAUDE;18
2000,0;VIA PUBLICA;628
2001,0;DOMICILIO;705
2001,0;HOSPITAL;721
2001,0;OUTROS;309
2001,0;OUTROS ESTABELECIMENTOS DE SAUDE;21
2001,0;VIA PUBLICA;635
2002,0;DOMICILIO;753
2002,0;HOSPITAL;661
2002,0;OUTROS;290
2002,0;OUTROS ESTABELECIMENTOS DE SAUDE;31
2002,0;VIA PUBLICA;661
2003,0;DOMICILIO;699
2003,0;HOSPITAL;702
2003,0;OUTROS;306
2003,0;OUTROS ESTABELECIMENTOS DE SAUDE;46
2003,0;VIA PUBLICA;726
2004,0;DOMICILIO;797
2004,0;HOSPITAL;634
2004,0;OUTROS;284
2004,0;OUTROS ESTABELECIMENTOS DE SAUDE;46
2004,0;VIA PUBLICA;694
2005,0;DOMICILIO;749
2005,0;HOSPITAL;680
2005,0;OUTROS;355
2005,0;OUTROS ESTABELECIMENTOS DE SAUDE;46
2005,0;VIA PUBLICA;736
2006,0;DOMICILIO;810
2006,0;HOSPITAL;677
2006,0;OUTROS;369
2006,0;OUTROS ESTABELECIMENTOS DE SAUDE;50
2006,0;VIA PUBLICA;749
2007,0;DOMICILIO;748
2007,0;HOSPITAL;659
2007,0;OUTROS;377
2007,0;OUTROS ESTABELECIMENTOS DE SAUDE;29
2007,0;VIA PUBLICA;713
2008,0;DOMICILIO;795
2008,0;HOSPITAL;680
2008,0;OUTROS;371
2008,0;OUTROS ESTABELECIMENTOS DE SAUDE;37
2008,0;VIA PUBLICA;810
2009,0;DOMICILIO;780
2009,0;HOSPITAL;680
2009,0;OUTROS;382
2009,0;OUTROS ESTABELECIMENTOS DE SAUDE;43
2009,0;VIA PUBLICA;867
2010,0;DOMICILIO;885
2010,0;HOSPITAL;727
2010,0;OUTROS;437
2010,0;OUTROS ESTABELECIMENTOS DE SAUDE;48
2010,0;VIA PUBLICA;950
2011,0;DOMICILIO;887
2011,0;HOSPITAL;693
2011,0;OUTROS;435
2011,0;OUTROS ESTABELECIMENTOS DE SAUDE;44
2011,0;VIA PUBLICA;980
2012,0;DOMICILIO;924
2012,0;HOSPITAL;758
2012,0;OUTROS;492
2012,0;OUTROS ESTABELECIMENTOS DE SAUDE;61
2012,0;VIA PUBLICA;924
2013,0;DOMICILIO;890
2013,0;HOSPITAL;758
2013,0;OUTROS;465
2013,0;OUTROS ESTABELECIMENTOS DE SAUDE;55
2013,0;VIA PUBLICA;1048
2014,0;DOMICILIO;903
2014,0;HOSPITAL;771
2014,0;OUTROS;530
2014,0;OUTROS ESTABELECIMENTOS DE SAUDE;64
2014,0;VIA PUBLICA;969
2015,0;DOMICILIO;909
2015,0;HOSPITAL;694
2015,0;OUTROS;492
2015,0;OUTROS ESTABELECIMENTOS DE SAUDE;61
2015,0;VIA PUBLICA;937
2016,0;DOMICILIO;933
2016,0;HOSPITAL;727
2016,0;OUTROS;501
2016,0;OUTROS ESTABELECIMENTOS DE SAUDE;67
2016,0;VIA PUBLICA;909
2017,0;DOMICILIO;962
2017,0;HOSPITAL;659
2017,0;OUTROS;594
2017,0;OUTROS ESTABELECIMENTOS DE SAUDE;73
2017,0;VIA PUBLICA;1008
2018,0;DOMICILIO;887
2018,0;HOSPITAL;596
2018,0;OUTROS;515
2018,0;OUTROS ESTABELECIMENTOS DE SAUDE;70
2018,0;VIA PUBLICA;918
2019,0;ALDEIA INDIGENA;1
2019,0;DOMICILIO;821
2019,0;HOSPITAL;521
2019,0;OUTROS;475
2019,0;OUTROS ESTABELECIMENTOS DE SAUDE;47
2019,0;VIA PUBLICA;706
2020,0;ALDEIA INDIGENA;1
2020,0;DOMICILIO;812
2020,0;HOSPITAL;476
2020,0;OUTROS;488
2020,0;OUTROS ESTABELECIMENTOS DE SAUDE;70
2020,0;VIA PUBLICA;721
2021,0;ALDEIA INDIGENA;1
2021,0;DOMICILIO;840
2021,0;HOSPITAL;473
2021,0;OUTROS;514
2021,0;OUTROS ESTABELECIMENTOS DE SAUDE;53
2021,0;VIA PUBLICA;716
2022,0;DOMICILIO;843
2022,0;HOSPITAL;475
2022,0;OUTROS;516
2022,0;OUTROS ESTABELECIMENTOS DE SAUDE;65
2022,0;VIA PUBLICA;687
2023,0;DOMICILIO;879
2023,0;HOSPITAL;491
2023,0;OUTROS;510
2023,0;OUTROS ESTABELECIMENTOS DE SAUDE;67
2023,0;VIA PUBLICA;676
2024,0;DOMICILIO;841
2024,0;HOSPITAL;452
2024,0;OUTROS;491
2024,0;OUTROS ESTABELECIMENTOS DE SAUDE;56
2024,0;VIA PUBLICA;642
