Ano;Categoria;Indicador;Valor;Unidade;Fonte
2014;Gravidez infantil;Nascidos vivos de mães com até 14 anos;28245;nascidos vivos;RASEAM 2026 / Sinasc
2015;Gravidez infantil;Nascidos vivos de mães com até 14 anos;26701;nascidos vivos;RASEAM 2026 / Sinasc
2016;Gravidez infantil;Nascidos vivos de mães com até 14 anos;24139;nascidos vivos;RASEAM 2026 / Sinasc
2017;Gravidez infantil;Nascidos vivos de mães com até 14 anos;22146;nascidos vivos;RASEAM 2026 / Sinasc
2018;Gravidez infantil;Nascidos vivos de mães com até 14 anos;21172;nascidos vivos;RASEAM 2026 / Sinasc
2019;Gravidez infantil;Nascidos vivos de mães com até 14 anos;19333;nascidos vivos;RASEAM 2026 / Sinasc
2020;Gravidez infantil;Nascidos vivos de mães com até 14 anos;17579;nascidos vivos;RASEAM 2026 / Sinasc
2021;Gravidez infantil;Nascidos vivos de mães com até 14 anos;17458;nascidos vivos;RASEAM 2026 / Sinasc
2022;Gravidez infantil;Nascidos vivos de mães com até 14 anos;14293;nascidos vivos;RASEAM 2026 / Sinasc
2023;Gravidez infantil;Nascidos vivos de mães com até 14 anos;13941;nascidos vivos;RASEAM 2026 / Sinasc
2024;Gravidez infantil;Nascidos vivos de mães com até 14 anos;11977;nascidos vivos;RASEAM 2026 / Sinasc
2012;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;88668;notificações;RASEAM 2013 / SINAN
2013;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;123476;notificações;RASEAM 2026 / SINAN
2014;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;122222;notificações;RASEAM 2026 / SINAN
2015;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;132909;notificações;Ministério da Saúde  / SINAN
2016;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;145702;notificações;Ministério da Saúde  / SINAN
2017;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;174119;notificações;Ministério da Saúde  / SINAN
2018;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;191136;notificações;Ministério da Saúde  / SINAN
2019;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;199429;notificações;Ministério da Saúde  / SINAN
2020;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;165917;notificações;Ministério da Saúde  / SINAN
2021;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;187413;notificações;Ministério da Saúde  / SINAN
2022;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;219718;notificações;Ministério da Saúde  / SINAN
2023;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;292852;notificações;Ministério da Saúde  / SINAN
2024;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;305961;notificações;Ministério da Saúde  / SINAN
2025;Violência registrada;Notificações de violências doméstica, sexual e outras contra mulheres;330782;notificações;Ministério da Saúde / SINAN
2015;Violência sexual;Ocorrências de estupro de mulheres;42575;vítimas;RASEAM 2026 / MJSP
2016;Violência sexual;Ocorrências de estupro de mulheres;48897;vítimas;RASEAM 2026 / MJSP
2017;Violência sexual;Ocorrências de estupro de mulheres;53890;vítimas;RASEAM 2026 / MJSP
2018;Violência sexual;Ocorrências de estupro de mulheres;61814;vítimas;RASEAM 2026 / MJSP
2019;Violência sexual;Ocorrências de estupro de mulheres;66673;vítimas;RASEAM 2026 / MJSP
2020;Violência sexual;Ocorrências de estupro de mulheres;58098;vítimas;RASEAM 2026 / MJSP
2021;Violência sexual;Ocorrências de estupro de mulheres;63406;vítimas;RASEAM 2026 / MJSP
2022;Violência sexual;Ocorrências de estupro de mulheres;70870;vítimas;RASEAM 2026 / MJSP
2023;Violência sexual;Ocorrências de estupro de mulheres;77251;vítimas;RASEAM 2026 / MJSP
2024;Violência sexual;Ocorrências de estupro de mulheres;76976;vítimas;RASEAM 2026 / MJSP
2025;Violência sexual;Ocorrências de estupro de mulheres;71652;vítimas;RASEAM 2026 / MJSP
