Ano;Faixa_Etaria;Total
1998,0;Não informado;2194
1999,0;Não informado;2133
2000,0;Não informado;2349
2001,0;Não informado;2442
2002,0;Não informado;2436
2003,0;Não informado;2522
2004,0;Não informado;2501
2005,0;Não informado;2636
2006,0;Não informado;2693
2007,0;Não informado;2571
2008,0;Não informado;2729
2009,0;Não informado;2784
2010,0;Não informado;3072
2011,0;Não informado;3057
2012,0;Não informado;3177
2013,0;Não informado;3243
2014,0;Não informado;3261
2015,0;Não informado;3116
2016,0;Não informado;3161
2017,0;Não informado;3315
2018,0;Não informado;2994
2019,0;Não informado;2579
2020,0;Não informado;2577
2021,0;Não informado;2604
2022,0;Não informado;2598
2023,0;Não informado;2628
2024,0;Não informado;2494
