Ano;Categoria;Indicador;Valor;Unidade;Fonte
2010;Denúncias;Denúncias registradas no Ligue 180;108026;denúncias;MMFDH
2011;Denúncias;Denúncias registradas no Ligue 180;434734;denúncias;MMFDH
2012;Denúncias;Denúncias registradas no Ligue 180;306576;denúncias;MMFDH
2013;Denúncias;Denúncias registradas no Ligue 180;530000;denúncias;MMFDH
2014;Denúncias;Denúncias registradas no Ligue 180;485105;denúncias;MMFDH
2015;Denúncias;Denúncias registradas no Ligue 180;749024;denúncias;MMFDH
2016;Denúncias;Denúncias registradas no Ligue 180;1133024;denúncias;MMFDH
2017;Denúncias;Denúncias registradas no Ligue 180;1170580;denúncias;MMFDH
2018;Denúncias;Denúncias registradas no Ligue 180;1185690;denúncias;MMFDH
2019;Denúncias;Denúncias registradas no Ligue 180;1540529;denúncias;MMFDH
2020;Denúncias;Denúncias registradas no Ligue 180;1312230;denúncias;MMFDH
2021;Denúncias;Denúncias registradas no Ligue 180;1077090;denúncias;MMFDH
2022;Denúncias;Denúncias registradas no Ligue 180;761701;denúncias;MMFDH
2023;Denúncias;Denúncias registradas no Ligue 180;568608;denúncias;Ministério das Mulheres
2024;Denúncias;Denúncias registradas no Ligue 180;691455;denúncias;Ministério das Mulheres
2025;Denúncias;Denúncias registradas no Ligue 180;864765;denúncias;Ministério das Mulheres
2026;Denúncias;Denúncias registradas no Ligue 180;45735;denúncias;Ministério das Mulheres
2025;Denúncias_totais;Denúncias registradas no Ligue 180;16000000;denúncias;Ministério das Mulheres
